inspection_id,date,zone,equipment_name,equipment_type,health_score,status,last_maintenance_date,next_maintenance_date,anomaly_type,risk_level,temperature_reading,vibration_reading,power_consumption,estimated_lifespan_days
INS000001,2016-01-01,A区,座椅系统,结构,95,正常,2015-10-05,2016-02-15,,低,35.9,1.95,54.2,3477
INS000002,2016-01-01,A区,空调机组,暖通,76,正常,2015-11-20,2016-02-07,,低,42.0,1.92,75.8,1308
INS000003,2016-01-01,A区,照明系统,电气,92,正常,2015-11-19,2016-03-19,,低,41.9,2.62,79.1,1456
INS000004,2016-01-01,A区,消防喷淋,消防,95,正常,2015-11-23,2016-03-30,,低,22.7,1.69,28.8,1789
INS000005,2016-01-01,A区,监控摄像头,安防,93,正常,2015-11-26,2016-03-23,,低,33.6,2.71,27.1,1456
INS000006,2016-01-01,A区,通风管道,暖通,79,正常,2015-10-11,2016-03-28,,低,29.6,3.12,70.8,1800
INS000007,2016-01-01,A区,应急照明,电气,77,正常,2015-09-09,2016-02-15,,低,56.2,3.04,61.1,1848
INS000008,2016-01-01,A区,排水系统,结构,85,正常,2015-07-11,2016-03-15,,低,21.1,1.09,12.0,2459
INS000009,2016-01-01,A区,隔音墙板,结构,92,正常,2015-07-22,2016-03-29,,低,38.6,1.58,30.5,3711
INS000010,2016-01-01,A区,电子显示屏,电气,80,正常,2015-09-07,2016-02-08,,低,61.2,1.77,37.7,2226
INS000011,2016-01-01,B区,座椅系统,结构,89,正常,2015-11-15,2016-02-28,,低,43.2,0.72,64.3,3226
INS000012,2016-01-01,B区,空调机组,暖通,94,正常,2015-08-14,2016-03-13,,低,50.4,2.85,67.5,2081
INS000013,2016-01-01,B区,照明系统,电气,91,正常,2015-12-01,2016-02-04,,低,51.4,2.01,49.7,2299
INS000014,2016-01-01,B区,消防喷淋,消防,82,正常,2015-08-12,2016-02-13,,低,27.2,0.95,14.7,1681
INS000015,2016-01-01,B区,监控摄像头,安防,87,正常,2015-11-13,2016-03-06,,低,19.6,2.43,35.1,933
INS000016,2016-01-01,B区,通风管道,暖通,74,正常,2015-07-24,2016-02-27,,低,57.1,1.81,64.5,1521
INS000017,2016-01-01,B区,应急照明,电气,98,正常,2015-10-03,2016-03-12,,低,44.3,2.1,45.1,2332
INS000018,2016-01-01,B区,排水系统,结构,92,正常,2015-11-29,2016-03-22,,低,33.6,1.33,-7.4,2491
INS000019,2016-01-01,B区,隔音墙板,结构,90,正常,2015-07-27,2016-03-28,,低,26.2,2.66,17.7,4078
INS000020,2016-01-01,B区,电子显示屏,电气,73,正常,2015-10-24,2016-03-23,,低,61.4,2.7,45.5,2043
INS000021,2016-01-01,C区,座椅系统,结构,92,正常,2015-08-30,2016-03-18,,低,27.1,0.05,22.2,3148
INS000022,2016-01-01,C区,空调机组,暖通,69,预警,2015-09-30,2016-02-12,,低,45.4,4.14,73.2,1612
INS000023,2016-01-01,C区,照明系统,电气,88,正常,2015-10-31,2016-03-18,,低,47.9,1.79,55.4,1744
INS000024,2016-01-01,C区,消防喷淋,消防,92,正常,2015-10-29,2016-02-03,,低,27.5,1.09,32.3,1992
INS000025,2016-01-01,C区,监控摄像头,安防,87,正常,2015-08-15,2016-02-23,,低,29.5,0.5,20.5,1600
INS000026,2016-01-01,C区,通风管道,暖通,75,正常,2015-10-13,2016-02-27,制冷不足,低,45.1,4.07,80.5,994
INS000027,2016-01-01,C区,应急照明,电气,95,正常,2015-09-11,2016-02-10,,低,62.4,1.81,63.2,1612
INS000028,2016-01-01,C区,排水系统,结构,99,正常,2015-09-06,2016-03-14,,低,23.2,1.91,36.3,2810
INS000029,2016-01-01,C区,隔音墙板,结构,95,正常,2015-07-09,2016-02-05,,低,24.6,1.55,26.5,3375
INS000030,2016-01-01,C区,电子显示屏,电气,83,正常,2015-09-14,2016-02-23,,低,56.0,1.62,58.2,2178
INS000031,2016-01-01,VIP区,座椅系统,结构,95,正常,2015-10-05,2016-03-28,,低,19.1,0.39,-0.5,4273
INS000032,2016-01-01,VIP区,空调机组,暖通,85,正常,2015-08-27,2016-02-25,,低,44.3,3.19,90.0,1747
